Jahr;Braunkohle (TWh);Steinkohle (TWh);Kernenergie (TWh);Erdgas (TWh);Mineralöl (TWh);Erneuerbare Energien (TWh);Sonstige (TWh);Gesamterzeugung (TWh)
1990;170.9;140.0;152.5;35.9;19.4;19.9;10.4;549.0
1991;168.6;140.3;154.2;37.2;18.1;21.7;11.6;551.8
1992;166.4;140.6;155.9;38.6;16.8;23.5;12.9;554.6
1993;164.1;140.9;157.6;39.9;15.4;25.3;14.1;557.4
1994;161.9;141.2;159.3;41.2;14.1;27.1;15.3;560.2
1995;159.6;141.6;161.1;42.5;12.8;28.9;16.6;563.0
1996;157.3;141.9;162.8;43.9;11.5;30.7;17.8;565.8
1997;155.1;142.2;164.5;45.2;10.2;32.5;19.0;568.6
1998;152.8;142.5;166.2;46.5;8.8;34.3;20.2;571.4
1999;150.6;142.8;167.9;47.9;7.5;36.1;21.5;574.2
2000;148.3;143.1;169.6;49.2;6.2;37.9;22.7;577.0
2001;148.1;140.5;166.7;53.2;6.4;44.6;23.1;582.6
2002;147.8;137.9;163.8;57.2;6.7;51.4;23.4;588.2
2003;147.6;135.3;160.9;61.2;6.9;58.1;23.8;593.8
2004;147.3;132.7;158.0;65.2;7.2;64.8;24.1;599.4
2005;147.1;130.1;155.1;69.2;7.4;71.5;24.5;605.0
2006;146.9;127.5;152.2;73.3;7.6;78.3;24.9;610.6
2007;146.6;124.9;149.3;77.3;7.9;85.0;25.2;616.2
2008;146.4;122.3;146.4;81.3;8.1;91.7;25.6;621.8
2009;146.1;119.7;143.5;85.3;8.4;98.5;25.9;627.4
2010;145.9;117.1;140.6;89.3;8.6;105.2;26.3;633.0
2011;140.5;109.7;133.0;89.8;8.2;119.8;26.4;627.4
2012;135.1;102.2;125.4;90.4;7.8;134.5;26.5;621.8
2013;129.6;94.7;117.7;90.9;7.4;149.1;26.6;616.1
2014;124.2;87.3;110.1;91.5;7.0;163.7;26.7;610.5
2015;118.8;79.8;102.5;92.0;6.7;178.3;26.8;604.9
2016;113.4;72.4;94.9;92.5;6.3;193.0;26.8;599.3
2017;108.0;65.0;87.3;93.1;5.9;207.6;26.9;593.7
2018;102.5;57.5;79.6;93.6;5.5;222.2;27.0;588.0
2019;97.1;50.0;72.0;94.2;5.1;236.9;27.1;582.4
2020;91.7;42.6;64.4;94.7;4.7;251.5;27.2;576.8
2021;87.0;40.4;45.3;89.2;4.6;258.5;29.9;555.0
2022;82.2;38.3;26.3;83.8;4.6;265.4;32.6;533.1
2023;77.5;36.1;7.2;78.3;4.5;272.4;35.3;511.3
2024;75.0;34.0;0.0;80.0;4.3;285.0;24.9;503.2
2025;74.4;35.0;0.0;86.3;4.2;291.6;17.7;509.2
